,source.ip,destination.ip,TotalConnections,Score,Skew score,MAD score,Count score,process.name,process.executable
59,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:140a:a000:388:0:0:0:4106,16,0.4643,0.2222222222222222,0.9666666666666667,0.20389568187176235,WinStore.App.exe | WindowsPackageManagerServer.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22402.1401.4.0_x64__8wekyb3d8bbwe\WinStore.App.exe | C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.22.10861.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe
7,192.168.2.238,13.89.179.10,17,0.4605,0.31999999999999995,0.9666666666666667,0.09483410725402822,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
41,192.168.2.238,52.168.112.67,13,0.4602,0.4,0.9666666666666667,0.014080151805698238,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
6,192.168.2.238,13.69.116.108,17,0.4601,0.5333333333333333,0.8333333333333334,0.01361004421262892,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
46,192.168.2.238,52.43.175.152,15,0.4457,0.9867549668874173,0.0,0.35027113376054764,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
16,192.168.2.238,192.168.2.1,13,0.4438,0.9888558692421991,0.0,0.3424986265335341,svchost.exe,C:\Windows\System32\svchost.exe
45,192.168.2.238,52.41.190.1,11,0.4279,0.8376623376623377,0.0,0.44596556301911244,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
39,192.168.2.238,51.116.246.104,15,0.4222,0.23529411764705888,0.9333333333333333,0.09803643905510301,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
21,192.168.2.238,20.189.173.26,9,0.3977,0.1724137931034483,0.8333333333333334,0.18733488111440239,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
43,192.168.2.238,52.168.117.169,19,0.397,0.23529411764705888,0.9333333333333333,0.022341124036039293,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
61,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:1901:0:2440:0:0:0:0,29,0.394,0.6628571428571428,0.0,0.5192712296879897,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
62,2001:4958:3138:1401:d969:1a6e:1244:e656,2606:4700:4400:0:0:0:6812:2073,22,0.3913,0.8457609805924413,0.0,0.3282877060399135,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
60,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:140a:a000:38d:0:0:0:4106,15,0.3904,0.25531914893617025,0.8333333333333334,0.08263855731443054,WinStore.App.exe | WindowsPackageManagerServer.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22402.1401.4.0_x64__8wekyb3d8bbwe\WinStore.App.exe | C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.22.10861.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe
25,192.168.2.238,20.42.73.26,7,0.3841,0.32835820895522383,0.8,0.02399295684303612,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
28,192.168.2.238,20.54.232.160,7,0.3834,0.1897810218978102,0.7333333333333334,0.22705605605040927,svchost.exe,C:\Windows\System32\svchost.exe
17,192.168.2.238,20.110.205.119,62,0.3746,0.5714285714285714,0.1166666666666667,0.4356894776737807,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
1,127.0.0.1,127.0.0.1,898,0.373,0.2857142857142857,0.8333333333333334,0.0,winlogbeat.exe | Code.exe | python3.12.exe | python.exe | com.docker.backend.exe,C:\Program Files\Docker\Docker\resources\com.docker.backend.exe | C:\Users\fredj\OneDrive\Desktop\repo\cpy\SEG491X-T64-Capstone\winlogbeat\winlogbeat.exe | C:\Users\fredj\AppData\Local\Programs\Python\Python312\python.exe | C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\python3.12.exe | C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe | C:\Users\fredj\OneDrive\Desktop\repo\SEG491X-T64-Capstone\winlogbeat\winlogbeat.exe
30,192.168.2.238,204.79.197.203,211,0.3559,0.5454545454545454,0.4833333333333333,0.03900680899900024,Widgets.exe | msedge.exe | msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.450.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe
69,2001:4958:3138:1401:d969:1a6e:1244:e656,2620:1ec:c11:0:0:0:0:237,54,0.3518,0.6198830409356726,0.0,0.4353710889606292,msedge.exe | WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22402.1401.4.0_x64__8wekyb3d8bbwe\WinStore.App.exe | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
